Code,Section,Subsection,Control Point,Compliance Criteria,Criticality
FV-GFS 29.02.02,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.02 Storage,Fertilizers and biostimulants are stored in an appropriate manner that reduces the risk of environmental contamination.,"Fertilizers (organic and inorganic) and biostimulants shall be stored in a designated area. Appropriate measures shall have been taken to prevent the pollution of water sources (concrete foundations, walls, leak-proof container, etc.), or the fertilizers shall be stored at least 25 meters from water sources.
Where necessary, inorganic fertilizers (powders, granules, liquids, etc.) shall be protected from atmospheric influences (sunlight, frost and rain, high temperatures, etc.). Based on a risk assessment (fertilizer type, weather conditions, storage duration and location), plastic coverage may be acceptable. It is permitted to store lime and gypsum in the field.
As long as the storage requirements on the safety data sheet (SDS) are complied with, bulk liquid fertilizers can be stored outside in containers. The storage area shall be well ventilated and free from rainwater or heavy condensation.
Inorganic fertilizers shall be stored in an area that is free from waste, does not constitute a breeding place for rodents, and where spillage and leakage can be cleared away.",Minor Must
FV-GFS 29.02.01,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.02 Storage,Fertilizers and biostimulants are stored in an appropriate manner that does not compromise food safety.,"Fertilizers and biostimulants shall be stored in a designated area separate from plant protection products (PPPs) and harvested or packed products.
Cross contamination between fertilizers (organic and inorganic), biostimulants, and PPPs shall be prevented. Use of a physical barrier (wall, sheeting, etc.) may be based upon defined risk.
Fertilizers and biostimulants that are applied together with PPPs (micronutrients, foliar fertilizers, etc.) can be stored with PPPs if both are kept in closed containers.",Major Must
FV-GFS 25.09,FV 25 WASTE MANAGEMENT,-,"Food waste* is prevented and managed.

*Food waste: food that is not channeled for human consumption, animal feed, or bio-based materials.","Available evidence indicates that:
Surplus produce** should be redirected for one of the following purposes, in order of preference:
- Human consumption (for processing, social food services, etc.)
- Animal feed
- Bio-based materials

Food waste should be redirected in one of the following ways:
- Recycling, composting, and/or land applications
- Repurposing (e.g., incineration of waste with energy recovery)
- Other forms of disposal
Evidence of food surplus and food waste management should be based on quantitative records (estimations are accepted).
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.
**Surplus produce: produce of the farm that is grown and harvested (or unharvested and left in the field) but not distributed to customers.",Recom.
FV-GFS 03.04,FV 03 RESOURCE MANAGEMENT AND TRAINING,-,Records of all training activities are kept.,"Induction or refresher training shall be recorded.
Training records relevant to the implementation of the standard and good agricultural practices shall include:
- Date of training and duration
- Topic(s) covered
- Names of trainer(s) or training provider(s)
- Names of trainee(s) (e.g., attendance list(s))
- Evidence of attendance (e.g., trainee signature)",Major Must
FV-GFS 32.01.02,FV 32 PLANT PROTECTION PRODUCTS,FV 32.01 Plant protection product management,Plant protection products (PPPs) and other treatments are applied appropriately and as recommended on the product label.,"A system shall be in place to ensure that PPPs, including biocontrol agents, are used as authorized for the specific crop and intended purpose (i.e., for the pest, disease, weed, or target of the intervention) and as per label recommendation or official registration body publication.
If the producer uses an off-label PPP, there shall be evidence of official approval for use of that PPP on that crop in that country.
All PPPs shall be correctly and properly labeled.",Major Must
FV-GFS 32.02.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.02 Application records,Records of plant protection product (PPP) applications are kept.,"Records shall be kept for all applications of PPPs, biocontrol agents, and postharvest treatments and shall specify the following:
- Crop and/or variety treated
- Application location (geographical area, the name or reference of the farm, and the field, orchard, greenhouse, or facility where the crop is located)
- Exact dates (day/month/year) from start to end (The producer need not record end times, but shall always record end dates. By doing so, it shall be considered that reentry intervals are calculated using the start of the next calendar day.)
- Registered trade name and active ingredient or beneficial organism with scientific name
- Preharvest interval as per the product label or, if not on the label, as stated by an official source
- Amount of product applied (weight or volume) and concentration or rate
- Type of machinery or application equipment used (backpack sprayer, aerial application, chemigation, etc.)
- Reason for application (target pest, disease, weed, condition, etc.)
- Full name of the applicator (person applying)
- Full name of the person technically responsible for decision-making and authorization of treatment applications (if single individual authorizes all applications, person’s details need be recorded only once)",Major Must
FV-GFS 32.01.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.01 Plant protection product management,Only treatments with plant protection products (PPPs) authorized for the country of production are used.,"A system shall be in place to ensure that PPPs are used as authorized for the country of production.

Evidence may take the form of reference lists (online acceptable), product labels, or descriptions of prevailing regulations. Where no official registration scheme exists in the country of production, the producer shall refer to “International Code of Conduct on the Distribution and Use of Pesticides” of the Food and Agriculture Organization (FAO).

Extrapolated PPP use is allowed as per local registration scheme (see guideline).

An up-to-date documented list that takes into account any change in local and national legislation for biocides, waxes, and postharvest PPPs shall be available for commercial brand products (including any active ingredient compositions) used.",Major Must
FV-GFS 32.04.05,FV 32 PLANT PROTECTION PRODUCTS,FV 32.04 Empty containers,"Official collection and disposal systems are used, when available, and the empty containers are then adequately stored, labeled, and handled according to the rules of that collection system.","Where official collection and disposal systems exist, there shall be records of participation by the producer. All empty plant protection product (PPP) containers, once emptied, shall be adequately stored, labeled, handled, and disposed of according to the requirements of the official collection and disposal schemes, where applicable.",Minor Must
FV-GFS 32.04.04,FV 32 PLANT PROTECTION PRODUCTS,FV 32.04 Empty containers,Empty plant protection product (PPP) containers are disposed of in such a way as to mitigate the risk to humans and the environment.,"The producer shall dispose of empty PPP containers using a safe handling system prior to the disposal, and a disposal method that avoids exposing people to the contents and avoids contamination of the environment (watercourses, flora, and fauna).",Minor Must
FV-GFS 32.04.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.04 Empty containers,"Empty plant protection product (PPP) containers are triple rinsed with water before storage and disposal, and the rinsate is disposed of in such a way as to mitigate the risk to the environment.","Pressure-rinsing equipment for PPP containers shall be installed on the PPP application machinery, or there shall be documented instructions to rinse each container at least three times prior to its disposal.

Either via the use of a container-handling device or according to a documented procedure for the application equipment operators, the rinsate from the empty PPP containers shall always be put back into the application equipment tank when mixing or disposed of in a manner that compromises neither food safety nor the environment.
",Major Must
FV-GFS 32.09.06,FV 32 PLANT PROTECTION PRODUCTS,FV 32.09 Plant protection product and postharvest treatment product storage,The plant protection product (PPP) storage is able to retain and manage spillage.,"Shelving shall not be absorbent in case of spillage (metal, rigid plastic, or covered with impermeable liner, etc.).

The PPP storage shall have retaining tanks or shall be bunded to 110% of the volume of the largest container of stored liquid to ensure that there cannot be any leakage, seepage, or contamination to the exterior of the storage. Materials and tools such as sand, floor brush and dustpan, and plastic bags shall be available and in a fixed location to be used exclusively in case of spillage of PPPs.",Minor Must
FV-GFS 32.09.05,FV 32 PLANT PROTECTION PRODUCTS,FV 32.09 Plant protection product and postharvest treatment product storage,Plant protection product (PPP) storage is illuminated.,The storage shall be sufficiently illuminated by natural or artificial lighting to ensure that all product labels can be easily read.,Minor Must
FV-GFS 32.04.02,FV 32 PLANT PROTECTION PRODUCTS,FV 32.04 Empty containers,The reuse of empty plant protection product (PPP) containers for purposes other than containing and transporting identical products is avoided.,"There shall be evidence that empty PPP containers have not been and currently are not being reused for anything other than containing and transporting identical products as stated on the original label. In regions where there is a risk that the container could be used to carry drinking water, containers shall be punctured prior to disposal.",Major Must
FV-GFS 32.09.04,FV 32 PLANT PROTECTION PRODUCTS,FV 32.09 Plant protection product and postharvest treatment product storage,Plant protection products (PPPs) are stored at appropriate temperatures.,Storage temperatures shall be in accordance with label requirements.,Minor Must
FV-GFS 32.09.03,FV 32 PLANT PROTECTION PRODUCTS,FV 32.09 Plant protection product and postharvest treatment product storage,Plant protection product (PPP) storage does not pose a risk to workers or create opportunities for cross contamination.,"The PPPs and postharvest treatment product storage shall mitigate health and safety risks to workers and the risk of cross contamination.

Liquids shall never be stored above powders or granular formulations.",Minor Must
FV-GFS 32.09.02,FV 32 PLANT PROTECTION PRODUCTS,FV 32.09 Plant protection product and postharvest treatment product storage,The plant protection product (PPP) storage is structurally sound and robust.,Storage capacity shall be sufficient to contain all PPPs during the peak application season. The storage space shall be sturdy.,Minor Must
FV-GFS 32.09.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.09 Plant protection product and postharvest treatment product storage,"Plant protection products (PPPs), biocontrol agents, and any other treatment products are stored in a manner that ensures the associated risks are managed.","The PPP storage shall:
- Comply with all the appropriate current national, regional, and local legislation and regulations
- Be located away from production areas, packaging storage areas, living areas, and harvested products to prevent cross contamination
- Be kept secure and locked when not in use
- Be accessible only to people with formal training in handling PPPs
- Be properly ventilated
- Have measuring equipment to support the accuracy of mixtures, including containers with graduation demarcations and calibrated scales
- Be equipped with utensils (buckets, water supply point, etc.), which shall be kept clean for the safe and efficient handling of all PPPs that can be applied (This last also applies to the filling/mixing area, if this is different.)
- Ensure all PPPs used on registered crops are stored separately from those used on nonregistered crops (e.g., garden chemicals)
- Contain the PPPs in their original containers and packages (In the case of breakage only, the new package shall contain all the information of the original label.)",Major Must
FV-GFS 32.08.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.08 Application of other substances,Up-to-date application records are kept of all other substances not covered under any of the sections.,"Records of other substances applied to water, soil, and hydroponic/fertigation systems (plant growth promotors, soil conditioners, pH adjusters, homemade and purchased remedies, etc.) shall be kept. Records shall contain the name of the substance, the crop, the field, the date, and the amount applied. In the case of purchased products, the trade or commercial name, where applicable, and the active substance or ingredient, or the main source (plant, algae, mineral, etc.) shall be recorded. If a registration scheme for this substance(s) exists in the country of production, the substance shall be approved.

Where the substances do not require authorization for use in the country of production, the producer shall ensure use does not compromise food safety.

Records shall contain information about the ingredients, where available.",Minor Must
FV-GFS 25.07,FV 25 WASTE MANAGEMENT,-,Fragments and small pieces of packaging material and other nonproduct waste are removed from the field.,Fragments and small pieces of packaging material and nonproduct waste shall be removed from the production site after the specific in-field process is completed.,Minor Must
FV-GFS 32.01.04,FV 32 PLANT PROTECTION PRODUCTS,FV 32.01 Plant protection product management,The producer takes active measures to prevent plant protection product (PPP) drift from neighboring plots.,"The producer should take active measures to avoid the risk of PPP drift from adjacent plots e.g., by making agreements and organizing communication with producers from neighboring plots in order to eliminate the risk of undesired PPP drift, by planting vegetative buffers at the edges of cropped fields, and by increasing PPP sampling on such fields.",Recom.
FV-GFS 32.01.03,FV 32 PLANT PROTECTION PRODUCTS,FV 32.01 Plant protection product management,The producer takes active measures to prevent plant protection product (PPP) drift to neighboring plots.,"The producer shall take active measures to avoid the risk of PPP drift from own plots to neighboring production areas. This may include, but is not limited to, knowledge of what neighbors are growing, planting living fences, maintenance of spray equipment, etc.",Major Must
FV-GFS 32.02.03,FV 32 PLANT PROTECTION PRODUCTS,FV 32.02 Application records,Management of plant protection products (PPPs) is supported with metrics.,"Acceptable metrics allow calculating the following:
- List of active ingredients used
- The total amount of active ingredients applied (in kg/crop, kg/month, and kg/ha/month)

Metrics should refer to the farm’s various production sites, units of time (e.g., growing cycles), and the active ingredient amounts per kg of product and ha of production.

In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable. Results (data) on metrics at producer group and farm level should be available to indicate compliance.",Recom.
FV-GFS 32.03.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.03 Plant protection product preharvest intervals,There is evidence that the registered preharvest intervals have been complied with.,"The producer shall be able to demonstrate, through the use of records such as plant protection product (PPP) application records and crop harvest dates, that preharvest intervals have been complied with for PPPs applied to crops. Specifically, in continuous harvesting situations, systems shall be in place in the field, orchard, or greenhouse (warning signs, time of application, etc.) to ensure compliance with all preharvest intervals.",Major Must
FV-GFS 32.02.02,FV 32 PLANT PROTECTION PRODUCTS,FV 32.02 Application records,Weather conditions at time of application are recorded.,"Local weather conditions (wind, sunny/overcast, humidity, etc.) affecting effectiveness of treatment or drift to neighboring crops shall be recorded for all plant protection product (PPP) applications. This may be in the form of pictograms with tick boxes, text information, or another viable system on the record.
“N/A” for covered crops.",Major Must
FV-GFS 25.02,FV 25 WASTE MANAGEMENT,-,Waste products and sources of pollution are identified in all areas of the farm.,"Possible waste products (paper, cardboard, plastic, oil, etc.) and sources of pollution (fertilizer excess, exhaust smoke, oil, fuel, noise, effluent, chemicals, etc.) associated with farm processes shall be identified.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 21.02,FV 21 SITE MANAGEMENT,-,A management plan that establishes strategies for minimizing the risks identified in the risk assessment for operation suitability has been developed and implemented and is reviewed regularly.,"A management plan shall:
- Be reviewed together with the risk assessment (annually or when changes occur) and address all risks identified in the risk assessment
- Describe the control measures implemented for the risks identified
- Be appropriate to farm operations
- Support facility design, cleaning activities, pest control, and other activities to minimize food safety risks
- Ensure that the layout and flow of operations are suitable for the intended purpose, consider applicable structures, and are designed to minimize food safety risks
- Be effective and visibly implemented",Major Must
FV-GFS 21.01,FV 21 SITE MANAGEMENT,-,A documented risk assessment is completed for all registered sites.,"The risk assessment shall be:
- Available for all production sites, including structures
- Reviewed at least annually or when changes occur (new risks emerge or new sites or crops enter production)

It shall consider:
- Biological, physical, and chemical hazards (including allergens)
- Risk of microbial cross contamination originating from neighboring or adjacent sites
- Site history (minimum of one year, with five years recommended)
- Impact of proposed activities on adjacent crops",Major Must
FV-GFS 21.03,FV 21 SITE MANAGEMENT,-,The producer has a system for identifying sites and facilities used for production.,"The producer shall have a system to identify:
- All fields, orchards, vineyards, greenhouses, and other production areas
- All water sources, storage and handling facilities, agrochemical storages, yards, buildings, and any features that may pose a workers’ health and safety, food safety, or environmental risk

Identification may be on a map or through the use of signs at each site.",Major Must
FV-GFS 29.01.01,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,Up-to-date records of all fertilizer and biostimulant applications are kept.,"Records shall be kept of each fertilizer (organic and inorganic) and biostimulant application, including in hydroponic and fertigation systems.",Major Must
FV-GFS 21.04,FV 21 SITE MANAGEMENT,-,The site is kept in a tidy and orderly condition.,"The site shall be maintained so as to prevent contamination of products. There shall be no waste or litter in the immediate vicinity of the production site(s) or storage buildings. Incidental and insignificant litter and waste in the designated areas are acceptable, as is the waste from the current day’s work. All other waste shall be cleaned up, including fuel spills.",Major Must
FV-GFS 25.04,FV 25 WASTE MANAGEMENT,-,Holding areas for diesel and other fuel oil tanks are environmentally safe.,"Holding areas shall be maintained in a manner that mitigates risks to the environment. The minimum requirement is a bunded, impervious area able to contain at least 110% of the volume of the largest tank stored within it. In an environmentally sensitive area, the capacity shall be 165% of the volume of the largest tank.",Minor Must
FV-GFS 25.08,FV 25 WASTE MANAGEMENT,-,Plastics are managed in a responsible way.,"There shall be visual evidence that for durable plastic products and for single-use plastic products (seasonal plastics) used in agricultural production:
- Operators have been trained in appropriate operating procedures and practices that minimize release of plastics into the environment.
- Manufacturer specifications are observed to maintain the integrity of plastics throughout their use and retrieval. This refers, for example, to plastics inspection, maintenance, and replacement.
- Retrieved used plastic is stored securely and disposed of in an environmentally sound manner.
- After use, recycling or reusing of plastics is implemented wherever possible.
- Where possible, adoption of alternatives that are more environmentally sustainable than plastics are considered.

In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 29.01.03,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,The records of all fertilizer applications shall include:,Date(s),Minor Must
FV-GFS 25.01,FV 25 WASTE MANAGEMENT,-,A waste management system is implemented.,"A waste management system addressing potential contamination of product or the environment (air, soil, substrate, and water) shall:
- Be documented and current
- Address collection, storage, and disposal of waste material, including plant protection products, fertilizers, wastewater, drainage, and packaging material, where applicable
- Addresses potential for contamination of nearby water sources, roadways, and adjacent land",Major Must
FV-GFS 29.01.07,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,Management of fertilizers is supported with metrics.,"Acceptable metrics allow calculating the following:
The total amounts of potassium, nitrogen, and phosphorus applied on the farm (in kg/crop, kg/month, and kg/ha/month).

Metrics should refer to inorganic and organic fertilizers, units of time (e.g., growing cycle), and amounts of fertilizer per kg of product and ha of production.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable. Results (data) on metrics at producer group and farm level should be available to indicate compliance.",Recom.
FV-GFS 29.01.06,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,The records of all fertilizer applications shall include:,Name of the applicator to clearly identify the individual or team of workers performing the fertilization,Minor Must
FV-GFS 29.01.05,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,The records of all fertilizer applications shall include:,Amount (rate or concentration as applicable),Minor Must
FV-GFS 29.01.02,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,The records of all fertilizer applications shall include:,"Geographical area and the name or reference of the field, orchard, or greenhouse",Minor Must
FV-GFS 29.01.04,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.01 Application records,The records of all fertilizer applications shall include:,Name and type,Minor Must
FV-GFS 29.03.03,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.03 Organic fertilizers,The use of human sewage sludge is prohibited on the farm.,"Human sewage sludge shall never be used in the production of registered crops. The use of human sewage sludge that has been composted or incorporated into a commercially available product is not permitted, regardless of lawful use according to prevailing regulations.",Major Must
FV-GFS 29.03.02,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.03 Organic fertilizers,The interval between the application of organic fertilizer and harvest does not compromise food safety.,"Records shall show that the interval between the use of composted organic fertilizers and harvest does not compromise food safety.

If raw animal manure is used, it shall be incorporated into the soil. The risks associated with the type of raw manure used and intended use shall be evaluated when establishing a preharvest interval, while adhering to the following minimum requirements:
- For tree crops (i.e., trees with the lowest fruit suspended well above the ground, so that the fruit does not come into contact with the soil, and excluding low bushes): Raw manure shall be applied prior to bud burst or on a shorter interval based on the risk assessment, but never shorter than 60 days prior to harvest.
- Leafy greens: Raw manure shall never be applied after planting, regardless of any harvest interval.
- For other crops: Raw manure shall be applied at least 60 days prior to harvest.",Major Must
FV-GFS 29.03.01,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.03 Organic fertilizers,A risk assessment for organic fertilizer is conducted as per intended use.,"A risk assessment for organic fertilizer shall be documented, conducted prior to use of the organic fertilizer, and it shall consider the following:
- Type of organic fertilizer
- Method of treatment
- Microbial contamination
- Weed/Seed content
- Heavy metal content
- Timing of application
- Placement of application (e.g., in contact with edible portion of the crop)

Procedures shall take into consideration World Health Organization (WHO) guidance.
This also applies to substrates from biogas plants.
For commercially available organic fertilizers, accompanying documentation and certifications of quality and content may be substituted for a risk assessment.",Major Must
FV-GFS 26.04,FV 26 PLANT PROPAGATION MATERIAL,-,Up-to-date records on all chemical treatments applied on in-house propagation materials are available.,"Records of all plant protection product treatments applied during the plant propagation period for in-house plant nursery propagation shall be available and include:
- Location
- Date
- Trade name, active ingredient, and preharvest interval of each product 
- Name of applicator
- Justification for application
- Quantity
- Machinery used

This principle and the respective criteria apply primarily to short cycle crops, where the treatment of propagation materials affect food safety. It would not apply to most fruit trees, where propagation and active production are separated by longer periods of time.",Major Must
FV-GFS 26.05,FV 26 PLANT PROPAGATION MATERIAL,-,Information on chemical treatments is available for purchased propagation materials.,"Records with the name(s) of chemical product(s) applied on propagation materials by the supplier shall be available on request. This can be in the form of:
- Application records maintained by the supplier
- Information on seed packages
- List with names of plant protection products applied

Producers sourcing from suppliers who have GLOBALG.A.P. certification for plant propagation material, or for an equivalent or GLOBALG.A.P. recognized certification is considered compliant.
“N/A” for perennial crops.",Major Must
FV-GFS 26.03,FV 26 PLANT PROPAGATION MATERIAL,-,Plant health quality control systems are implemented and recorded for in-house propagation materials.,"A quality control system that contains a monitoring system for visible signs of pests and diseases shall be in place and current records of the monitoring system shall be available. The term “nursery” shall refer to any place where propagation materials are produced, including in-house selection of grafting materials.
The monitoring system shall include the recording and identification of the mother plant or field of origin crop, as applicable. Recording shall occur at regular, established intervals. If the cultivated trees or plants are intended for own use only (i.e., not sold), in-house records for monitoring and propagation activities shall suffice. Where rootstocks are used, special attention shall be paid to the origin of the rootstocks through documentation.",Minor Must
FV-GFS 25.05,FV 25 WASTE MANAGEMENT,-,Organic waste is managed in an appropriate manner to reduce the risk of contamination of the environment.,"Organic waste material should be composted and used for soil conditioning. The composting method should mitigate the risk of pest, disease, or weed carryover.",Recom.
FV-GFS 26.02,FV 26 PLANT PROPAGATION MATERIAL,-,Propagation materials are obtained in compliance with intellectual property laws.,"Where the producer uses registered varieties or rootstock, documents shall be available on request that prove that the propagation materials have been purchased or otherwise obtained in accordance with applicable intellectual property rights regulations. The documents may be the license contract (for starting materials that do not originate from seed, but from vegetative origin), a document or empty seed package that states the variety name, batch number, propagation material vendor, and packing list/delivery note or invoice to demonstrate the amount obtained and identity of all propagation materials used in the last 24 months.
Note: The PLUTO database of UPOV (http://www.upov.int/pluto/en) and the Variety Finder on the website of CPVO (https://cpvoextranet.cpvo.europa.eu/) list all varieties in the world, providing their registration details and the intellectual property protection details for each variety and country.",Major Must
FV-GFS 26.01,FV 26 PLANT PROPAGATION MATERIAL,-,"Propagation materials are obtained in compliance with variety registration laws, where applicable.","There shall be available documentation (empty seed package, plant passport, packing list, invoice, etc.) that states, at minimum, the variety name, batch number, propagation material vendor, and, where available, additional information on seed quality (germination, genetic purity, physical purity, seed health, etc.). Material coming from nurseries that have GLOBALG.A.P. certification for plant propagation material is considered compliant.",Major Must
FV-GFS 32.04.06,FV 32 PLANT PROTECTION PRODUCTS,FV 32.04 Empty containers,All local regulations regarding disposal or destruction of plant protection product (PPP) containers are complied with.,"All the relevant national, regional, and local regulations and legislation, if such exist, shall have been complied with regarding the disposal of empty PPP containers.",Major Must
FV-GFS 32.05.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.05 Obsolete plant protection products,"Obsolete plant protection products (PPPs) are securely maintained, identified, and disposed of via authorized or approved channels.","There shall be records indicating that obsolete PPPs have been disposed of via officially authorized channels. If this is not possible, obsolete PPPs shall be securely maintained and identifiable.",Minor Must
FV-GFS 32.06.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.06 Disposal of surplus application mix,Surplus application mixes or tank washings are disposed of responsibly.,"Applying surplus spray and tank washings to the crop shall be the first method of disposal, providing that the overall label dose rate is not exceeded. Surplus mix or tank washings shall be disposed of in a manner that does not pose a risk to the environment.
No agrochemical wastewater shall be released into the open environment.
Records shall be kept.",Minor Must
